Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
2,M040,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,Construction,In-Progress,8/10/2023,2/4/2026,,35935875,33062943,19237497,"DSF0000943382, DSF0000943384, DSF0000943386, DSF0000943385, DSF0001034496"
2,M040,P.S. 40 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS,"CM,F&E",In-Progress,8/10/2023,2/4/2026,,2237013,452247,448494,"DSF0000943382, DSF0000943384, DSF0000943386, DSF0000943385, DSF0001034496"
2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Scope,Complete,3/12/2020,7/27/2020,6/8/2021,0,33452,33452,DSF0000913301
2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Design,Complete,6/15/2021,12/2/2021,1/12/2022,48883,152265,149377,DSF0000913301
2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,Construction,In-Progress,7/22/2022,7/21/2023,,716957,603073,424957,DSF0000913301
2,M040,I.S. 255 - MANHATTAN,SCA CIP RESOA,FY20 RESO A ACCESSIBILITY,"CM,F&E",In-Progress,7/22/2022,7/21/2023,,48883,73031,71937,DSF0000913301
2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Scope,Complete,4/25/2022,12/8/2022,11/1/2022,0,23281,23281,"DSF0001033629, DSF0001033630"
2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Design,Complete,11/2/2022,3/2/2023,1/20/2023,57524,79380,79380,"DSF0001033629, DSF0001033630"
2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,Construction,Complete,6/13/2023,3/13/2024,4/17/2025,843687,713992,534464,"DSF0001033629, DSF0001033630"
2,M040,P.S. 40 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE / FY22 RESO A LIBRARY UPGRADE,"CM,F&E",Complete,6/13/2023,3/13/2024,4/17/2025,156251,203069,196737,"DSF0001033629, DSF0001033630"
2,M040,P.S. 40 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION- INVESTIGATION @ M040,Construction,In-Progress,6/9/2023,EMER,,EMER,221821,221821,SCA0000072062
2,M040,P.S. 40 - MANHATTAN,SCA IEH,PO18-PATCH AND REPAIR INSULATION BASEMENT SOUTH SIDE HALLWAY BOILER ROOM STORAGE ROOM FIRST FLOOR GY,Construction,In-Progress,4/18/2025,IEH,,IEH,750,0,SCA0000074168
2,M040,P.S. 40 - MANHATTAN,SCA IEH,"PO18-ACM CLEAN UP IN 4 FL, ALSO ROOM 406 AND 402 AS WELL AS THE ADJACENT HALLWAYS",Construction,In-Progress,8/27/2025,IEH,,IEH,11947,686,SCA0000074849
2,M040,I.S. 255 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000,0,DSF0001086180
2,M040,P.S. 40 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,6/4/2025,DIIR,8/26/2025,DIIR,50000,50000,DSF0001112765
2,M040,P.S. 40 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,60000,0,DSF0001163479
2,M040,P.S. 40 - MANHATTAN,DOE - RESOA,FY 15 RESO A CAFETERIA FLOORING UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,43622,0,DSF0000800292
2,M040,P.S. 40 - MANHATTAN,DOE - RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,7/25/2019,DOER,,DOER,505108,0,DSF0000890661
2,M040,I.S. 255 - MANHATTAN,DOE - RESOA,FY22 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,3199,0,DSF0001033677
2,M040,P.S. 40 - MANHATTAN,DOE - RESOA,FY23 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,8/30/2024,DOER,,DOER,87923,0,DSF0001035627
2,M040,I.S. 255 - MANHATTAN,DOE - RESOA,FY23 RESO A ELECTRICAL UPGRADE,Construction,In-Progress,6/21/2024,DOER,,DOER,74117,0,DSF0001035629
2,M040,I.S. 255 - MANHATTAN,DOE - RESOA,FY25 RESO A CLASSROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,50000,0,DSF0001112764
2,M040,I.S. 255 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/13/2024,DOES,,DOES,401401,0,DSF0001111636
2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,6/27/2019,11/13/2019,2/11/2020,172368,156012,154151,"DSF0000897983, DSF0000897984, DSF0000897985, DSF0001008626"
2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,2/11/2020,7/13/2020,5/14/2021,860032,586205,565219,"DSF0000897983, DSF0000897984, DSF0000897985, DSF0001008626"
2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,9/5/2023,1/1/2026,,19194327,17438233,9953942,"DSF0000897983, DSF0000897984, DSF0000897985, DSF0001008626"
2,M041,P.S. 41 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,9/5/2023,1/1/2026,,1221137,194708,158061,"DSF0000897983, DSF0000897984, DSF0000897985, DSF0001008626"
2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,3/27/2024,7/26/2024,4/16/2024,3980,2288,2288,DSF0001087470
2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,4/16/2024,10/10/2024,9/25/2024,17910,9151,9151,DSF0001087470
2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,4/18/2025,3/13/2026,,230840,213800,2460,DSF0001087470
2,M041,P.S. 41 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,4/18/2025,3/13/2026,,74939,58765,13377,DSF0001087470
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,Complete,2/14/2023,5/15/2023,6/27/2023,0,11562,11562,DSF0001035630
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,25593,14031,2537,DSF0001035630
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,375357,435366,0,DSF0001035630
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,25593,29684,499,DSF0001035630
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF0001035631
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0,0,DSF0001035631
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0,0,DSF0001035631
2,M041,P.S. 41 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,142,142,DSF0001035631
2,M041,P.S. 41 - MANHATTAN,Fast Track Projects,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,FTK,FTK,FTK,FTK,140000,0,DSF0001112766
2,M041,P.S. 41 - MANHATTAN,DOE - RESOA,FY21 RESO A BATHROOM UPGRADE,Construction,In-Progress,11/24/2021,DOER,,DOER,61043,0,DSF0001007803
2,M041,P.S. 41 - MANHATTAN,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,12/8/2023,DOER,,DOER,150000,9653,DSF0001086181
2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Scope,Complete,7/17/2019,12/3/2019,1/23/2020,129854,175675,170124,"DSF0000898000, DSF0000898002, DSF0000898003, DSF0000898004, DSF0000898005"
2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Design,Complete,1/23/2020,6/23/2020,6/30/2020,643030,621225,600651,"DSF0000898000, DSF0000898002, DSF0000898003, DSF0000898004, DSF0000898005"
2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,Construction,In-Progress,2/28/2022,3/28/2024,,13927885,13312143,11269837,"DSF0000898000, DSF0000898002, DSF0000898003, DSF0000898004, DSF0000898005"
2,M042,P.S. 42 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2/28/2022,3/28/2024,,955827,416604,398427,"DSF0000898000, DSF0000898002, DSF0000898003, DSF0000898004, DSF0000898005"
2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/3/2023,11/1/2023,7/12/2023,4335,2041,2041,DSF0001035046
2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/12/2023,1/9/2024,10/18/2023,19510,8163,8163,DSF0001035046
2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/28/2024,12/23/2024,,251458,225703,197813,DSF0001035046
2,M042,P.S. 42 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/28/2024,12/23/2024,,158069,139247,75215,DSF0001035046
2,M042,P.S. 42 - MANHATTAN,SCA IEH,PO18-ABATE FLOOR TILES 9X9  IN ROOM 507 THAT IS DETERIORATED SPACE ID# 6507.  525 SQUARE FEET TO BE,Construction,In-Progress,7/11/2025,IEH,,IEH,1204,454,SCA0000074437
2,M042,P.S. 42 - MANHATTAN,SCA IEH,PO18-THE FOLLOWING AREAS HAVE BEEN IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE AS REQUIRING RE,Construction,In-Progress,8/8/2025,IEH,,IEH,750,0,SCA0000074619
2,M042,P.S. 42 - MANHATTAN,DOE - RESOA,RESO A- SOLAR ROOF INSTALL,Construction,PNS,PNS,PNS,PNS,DOER,111545,0,DSF0000777448
2,M042,P.S. 42 - MANHATTAN,DOE - RESOA,FY20 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,3/24/2022,DOER,,DOER,32804,0,DSF0000913077
2,M042,P.S. 42 - MANHATTAN,DOE - RESOA,FY20 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,8/18/2023,DOER,,DOER,85430,0,DSF0000913302
2,M042,P.S. 42 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,113550,0,DSF0001033154
2,M042,P.S. 42 - MANHATTAN,DOE - RESOA,FY24 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,3892,0,DSF0001035632
2,M042,P.S. 42 - MANHATTAN,DOE - RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000,0,DSF0001086182
2,M042,P.S. 42 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,6/1/2022,DOES,,DOES,91622,0,DSF0001034239
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,12/18/2019,3/20/2020,3/16/2020,27730,56933,56933,DSF0000943498
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Design,Complete,4/20/2021,10/21/2021,8/3/2022,138650,379561,252394,DSF0000943498
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,Construction,In-Progress,5/1/2023,10/21/2024,,3119625,3643884,3258720,DSF0000943498
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",In-Progress,5/1/2023,10/21/2024,,194110,438034,422275,DSF0000943498
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Scope,Complete,4/29/2022,9/14/2022,12/7/2022,247331,327320,327310,"DSF0001085109, DSF0001083829, DSF0001068422, DSF0001083828, DSF0001068421"
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Design,Complete,12/22/2022,5/25/2023,4/28/2023,1236651,948443,867956,"DSF0001085109, DSF0001083829, DSF0001068422, DSF0001083828, DSF0001068421"
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,Construction,In-Progress,8/21/2023,2/15/2026,,27824626,25428378,13894481,"DSF0001085109, DSF0001083829, DSF0001068422, DSF0001083828, DSF0001068421"
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA CIP,EXTERIOR MASONRY / RTU REPLACEMENT / WINDOWS / PARAPETS / ROOFS,"CM,F&E",In-Progress,8/21/2023,2/15/2026,,1731310,568286,563477,"DSF0001085109, DSF0001083829, DSF0001068422, DSF0001083828, DSF0001068421"
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,3/22/2022,EMER,,EMER,270264,258990,SCA0000070945
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA IEH,PO18-ABATEMENT OF PIPE INSULATION IN THE CAFETERIA SPACE ID# 2300 - APPROX 10 FEET,Construction,In-Progress,9/18/2024,IEH,,IEH,10362,1607,SCA0000073391
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA IEH,"PO18-ABATE 9X9 FLOOR TILES IN ROOM 156 , APPROXIMATELY 140 SQ FT DUE TO WATER DAMAGE. SPACE ID# 3154",Construction,Complete,4/14/2025,IEH,4/27/2025,IEH,19261,19261,SCA0000074149
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA IEH,PO18-REPLACE 40SQ FT OF DAMAGE 9X9 TILES IN THE 3RD FLOOR HALLWAY NEAR 354/SLOP SINK.  SPACE ID#: 50,Construction,Complete,8/5/2025,IEH,9/9/2025,IEH,9154,1017,SCA0000074575
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA IEH,PO18-SOME AREAS WERE IDENTIFIED DURING THE AHERA PERIODIC SURVEILLANCE AS RESPONSE ACTION DUE TO OBS,Construction,In-Progress,8/6/2025,IEH,,IEH,750,0,SCA0000074599
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,SCA IEH,PO18-ABATE 9X9  FLOOR TILES IN THE 1ST FLOOR HALLWAY NEAR ROOM 150  DUE TO DAMAGE SPACE ID# 3000. AP,Construction,In-Progress,8/11/2025,IEH,,IEH,750,0,SCA0000074646
2,M047,P.S. 347 - MANHATTAN,DOE - RESOA,FY16 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,30825,0,DSF0000822300
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,DOE - RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,2/19/2024,DOER,,DOER,310580,0,DSF0001035636
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,DOE - RESOA,FY24 RESO A HYDROPONICS LAB,Construction,In-Progress,7/30/2024,DOER,,DOER,340584,0,DSF0001086187
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,DOE - RESOA,RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,100307,0,DSF0001112395
2,M047,J.H.S. 47 (SCH FOR THE DEAF) - M,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,6/10/2022,DOES,,DOES,125997,0,DSF0001034240
2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Scope,Complete,12/12/2023,4/29/2024,7/19/2024,61494,142786,138541,"DSF0001068625, DSF0001112401, DSF0001096326"
2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Design,Complete,7/30/2024,1/2/2025,1/13/2025,283966,198549,176489,"DSF0001068625, DSF0001112401, DSF0001096326"
2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,4476167,4476167,13296,"DSF0001068625, DSF0001112401, DSF0001096326"
2,M066,P.S. 151 - MANHATTAN,SCA CIP,PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,484391,484391,51675,"DSF0001068625, DSF0001112401, DSF0001096326"
2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/30/2020,10/29/2020,7/13/2020,2081,6193,6193,DSF0000960793
2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/13/2020,1/7/2021,3/30/2021,9363,24772,24772,DSF0000960793
2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,120678,116860,97472,DSF0000960793
2,M066,P.S. 151 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,118762,158539,153409,DSF0000960793
2,M066,P.S. 151 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION- SWB @ M066,Construction,In-Progress,3/7/2024,EMER,,EMER,187804,169035,SCA0000072799
2,M066,P.S. 151 - MANHATTAN,SCA IEH,"PO18-ABATE CEILING PLASTER IN STAIRWELL F & G @ 2ND FLOOR  DUE TO DAMAGE SPACE ID# 3000S  , APPROX 1",Construction,In-Progress,5/30/2025,IEH,,IEH,820,70,SCA0000074328
2,M066,P.S. 151 - MANHATTAN,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,6/4/2025,DIIR,,DIIR,50000,0,DSF0001086196
2,M066,P.S. 151 - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000,0,DSF0001112778
2,M066,P.S. 151 - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000,0,DSF0001163541
2,M066,P.S. 151 - MANHATTAN,DOE - RESOA,FY23 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,4/11/2024,DOER,,DOER,354961,0,DSF0001035648
2,M066,P.S. 151 - MANHATTAN,DOE - RESOA,RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,406973,0,DSF0001112246
2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Scope,Complete,7/19/2022,1/22/2024,1/9/2024,0,45439,45439,"DSF0001035065, DSF0001087238"
2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Design,Complete,1/12/2024,5/30/2024,5/22/2024,196308,209226,125023,"DSF0001035065, DSF0001087238"
2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,Construction,In-Progress,4/2/2025,4/1/2027,,2879187,2777887,120010,"DSF0001035065, DSF0001087238"
2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,SCA CIP RESOA,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,"CM,F&E",In-Progress,4/2/2025,4/1/2027,,196308,88781,87857,"DSF0001035065, DSF0001087238"
2,M070,NYC LAB HS - MANHATTAN,SCA IEH,PO18-ACM REMOVAL OF THE STEAM LINE ELBOW LOCATED IN THE BOILER ROOM OF BOILER 3 APPROX 24 INCHES,Construction,Complete,10/17/2024,IEH,4/30/2025,IEH,6190,178,SCA0000073510
2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,4/26/2025,DIIR,6/25/2025,DIIR,50000,50000,DSF0001112779
2,M070,NYC LAB HS - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/17/2025,DIIR,5/16/2025,DIIR,75000,75000,DSF0001112780
2,M070,NYC LAB HS - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000,0,DSF0001163542
2,M070,MUSEUM SCHOOL - MANHATTAN,DIIT - RESOA,FY26 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,65000,0,DSF0001163543
2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,DOE - RESOA,FY21 RESO A BATHROOM UPGRADE,Construction,In-Progress,7/8/2021,DOER,,DOER,84686,0,DSF0001007809
2,M070,NYC LAB MIDDLE SCHOOL - MANHATTAN,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,5/13/2016,DOES,,DOES,205854,0,DSF0000799864
2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/20/2023,11/20/2023,8/10/2023,4160,4920,4920,DSF0001035029
2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,8/10/2023,2/8/2024,12/13/2023,18720,19680,19680,DSF0001035029
2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,Complete,5/27/2024,5/26/2025,5/12/2025,241280,216175,186802,DSF0001035029
2,M089,P.S. 89 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",Complete,5/27/2024,5/26/2025,5/12/2025,179448,163585,99817,DSF0001035029
2,M089,P.S. 89 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,50000,0,DSF0001086203
2,M089,P.S. 89 - MANHATTAN,DOE - RESOA,FY24 RESO A WATER FOUNTAIN UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,50411,0,DSF0001086204
2,M089,P.S. 89 - MANHATTAN,DOE - Skilled Trades,GYMNASIUM FLOOR,Construction,In-Progress,5/26/2016,DOES,,DOES,210102,0,DSF0000842684
2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,Scope,Complete,5/28/2024,10/11/2024,11/6/2024,90454,138324,138324,"DSF0001068999, DSF0001113869"
2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,Design,Complete,11/18/2024,4/22/2025,9/29/2025,450629,298523,157342,"DSF0001068999, DSF0001113869"
2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,10085819,10085819,105567,"DSF0001068999, DSF0001113869"
2,M104,I.S. 104 - MANHATTAN,SCA CIP,ROOFS / FLOOD ELIMINATION,"CM,F&E",PNS,PNS,PNS,PNS,645893,645893,72680,"DSF0001068999, DSF0001113869"
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF0001112795
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,16622,16622,0,DSF0001112795
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,243792,243792,0,DSF0001112795
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY25 RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,16622,16622,0,DSF0001112795
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0,DSF0001113605
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0,0,DSF0001113605
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0,0,DSF0001113605
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0,0,DSF0001113605
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Scope,Complete,4/6/2021,12/20/2021,11/3/2021,0,25504,25504,"DSF0001008815, DSF0001032955"
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Design,Complete,11/4/2021,3/10/2022,4/14/2022,90525,96205,96205,"DSF0001008815, DSF0001032955"
2,M104,I.S. 104 - MANHATTAN,SCA CIP RESOA,FY 21 RESO A (MA) FITNESS ROOM / PATH OF TRAVEL RESO A FITNESS ROOM,Construction,In-Progress,8/7/2024,7/2/2025,,1327694,1297576,569907,"DSF0001008815, DSF0001032955"
